rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,142298,11936,Go,https://github.com/ollama/ollama,ollama,1549,2025-05-31T02:50:16Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
2,LLM,awesome-chatgpt-prompts,127401,16921,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-05-24T05:14:58Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
3,LLM,dify,100041,15063,TypeScript,https://github.com/langgenius/dify,langgenius,632,2025-05-30T10:37:16Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
4,LLM,open-webui,96902,12588,JavaScript,https://github.com/open-webui/open-webui,open-webui,128,2025-05-29T21:37:38Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
5,LLM,llama.cpp,81144,11967,C++,https://github.com/ggml-org/llama.cpp,ggml-org,324,2025-05-31T00:47:28Z,LLM inference in C/C++
6,LLM,gpt4all,73456,8028,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,686,2025-05-27T20:05:19Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
7,LLM,gpt_academic,68618,8349,Python,https://github.com/binary-husky/gpt_academic,binary-husky,256,2025-05-06T14:19:12Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
8,LLM,browser-use,61986,6948,Python,https://github.com/browser-use/browser-use,browser-use,396,2025-05-30T21:03:23Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
9,LLM,OpenHands,56935,6410,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,223,2025-05-30T22:40:31Z,"🙌 OpenHands: Code Less, Make More"
10,LLM,MetaGPT,56020,6683,Python,https://github.com/FoundationAgents/MetaGPT,FoundationAgents,34,2025-05-16T13:18:18Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
11,LLM,ragflow,53984,5205,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,2141,2025-05-30T13:14:03Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
12,LLM,llm-course,53572,5688,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,52,2025-05-12T08:34:35Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
13,LLM,LLaMA-Factory,51217,6187,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,478,2025-05-30T08:52:14Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
14,LLM,LLMs-from-scratch,50402,7295,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,5,2025-04-20T02:16:18Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
15,LLM,vllm,48583,7691,Python,https://github.com/vllm-project/vllm,vllm-project,1867,2025-05-31T01:30:16Z,A high-throughput and memory-efficient inference and serving engine for LLMs
16,LLM,anything-llm,44682,4405,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,255,2025-05-31T00:40:09Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
17,LLM,crawl4ai,44642,4198,Python,https://github.com/unclecode/crawl4ai,unclecode,128,2025-05-28T08:18:00Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
