rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,140821,11781,Go,https://github.com/ollama/ollama,ollama,1561,2025-05-16T22:56:52Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
2,LLM,awesome-chatgpt-prompts,124716,16674,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-05-16T08:30:39Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
3,LLM,dify,97555,14619,TypeScript,https://github.com/langgenius/dify,langgenius,632,2025-05-17T09:31:09Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
4,LLM,open-webui,95073,12194,JavaScript,https://github.com/open-webui/open-webui,open-webui,159,2025-05-17T17:54:56Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
5,LLM,llama.cpp,80427,11795,C++,https://github.com/ggml-org/llama.cpp,ggml-org,323,2025-05-17T22:23:13Z,LLM inference in C/C++
6,LLM,gpt4all,73342,8006,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,686,2025-03-19T23:33:36Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
7,LLM,gpt_academic,68511,8347,Python,https://github.com/binary-husky/gpt_academic,binary-husky,254,2025-05-06T14:19:12Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
8,LLM,browser-use,60505,6694,Python,https://github.com/browser-use/browser-use,browser-use,386,2025-05-17T13:37:37Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
9,LLM,MetaGPT,55647,6618,Python,https://github.com/FoundationAgents/MetaGPT,FoundationAgents,43,2025-05-16T13:18:18Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
10,LLM,OpenHands,54341,6145,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,212,2025-05-18T02:06:12Z,"🙌 OpenHands: Code Less, Make More"
11,LLM,ragflow,52684,5035,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,2044,2025-05-16T13:13:51Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
12,LLM,llm-course,51669,5523,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,49,2025-05-12T08:34:35Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
13,LLM,LLMs-from-scratch,49330,7096,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,2,2025-04-20T02:16:18Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
14,LLM,LLaMA-Factory,49075,5973,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,461,2025-05-16T15:33:47Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
15,LLM,vllm,47507,7451,Python,https://github.com/vllm-project/vllm,vllm-project,1813,2025-05-17T22:47:25Z,A high-throughput and memory-efficient inference and serving engine for LLMs
16,LLM,anything-llm,44164,4321,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,239,2025-05-16T19:59:43Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
17,LLM,crawl4ai,43332,4016,Python,https://github.com/unclecode/crawl4ai,unclecode,123,2025-05-17T11:12:15Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
18,LLM,llama_index,41693,5949,Python,https://github.com/run-llama/llama_index,run-llama,262,2025-05-17T22:05:19Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
19,LLM,unsloth,38839,3043,Python,https://github.com/unslothai/unsloth,unslothai,932,2025-05-18T01:30:18Z,"Finetune Qwen3, Llama 4, TTS, DeepSeek-R1 & Gemma 3 LLMs 2x faster with 70% less memory! 🦥"
20,LLM,firecrawl,38402,3499,TypeScript,https://github.com/mendableai/firecrawl,mendableai,169,2025-05-16T19:29:10Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
21,LLM,Pake,38376,7044,Rust,https://github.com/tw93/Pake,tw93,56,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
22,LLM,quivr,37855,3638,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,5,2025-05-15T07:49:42Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
23,LLM,ray,37079,6292,Python,https://github.com/ray-project/ray,ray-project,3777,2025-05-18T02:33:01Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
24,LLM,chatgpt-on-wechat,36791,9201,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,292,2025-04-20T09:22:54Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT4.1/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
25,LLM,ChatTTS,36243,3920,Python,https://github.com/2noise/ChatTTS,2noise,60,2025-05-06T13:52:08Z,A generative speech model for daily dialogue.
