rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,142870,11997,Go,https://github.com/ollama/ollama,ollama,1564,2025-06-06T00:34:14Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
2,LLM,awesome-chatgpt-prompts,128051,16985,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-06-05T23:14:15Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
3,LLM,dify,100996,15217,TypeScript,https://github.com/langgenius/dify,langgenius,600,2025-06-06T03:43:21Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
4,LLM,open-webui,97761,12771,JavaScript,https://github.com/open-webui/open-webui,open-webui,134,2025-06-05T18:38:47Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
5,LLM,llama.cpp,81392,12020,C++,https://github.com/ggml-org/llama.cpp,ggml-org,325,2025-06-05T21:39:41Z,LLM inference in C/C++
6,LLM,gpt4all,73517,8036,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,686,2025-05-27T20:05:19Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
7,LLM,gpt_academic,68680,8351,Python,https://github.com/binary-husky/gpt_academic,binary-husky,257,2025-06-03T18:25:00Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
8,LLM,browser-use,62479,7038,Python,https://github.com/browser-use/browser-use,browser-use,406,2025-06-06T03:23:44Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
9,LLM,OpenHands,57453,6515,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,244,2025-06-06T03:36:31Z,"🙌 OpenHands: Code Less, Make More"
10,LLM,MetaGPT,56164,6712,Python,https://github.com/FoundationAgents/MetaGPT,FoundationAgents,28,2025-05-16T13:18:18Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
11,LLM,ragflow,54424,5277,Python,https://github.com/infiniflow/ragflow,infiniflow,2186,2025-06-06T02:05:59Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
12,LLM,llm-course,54396,5799,,https://github.com/mlabonne/llm-course,mlabonne,53,2025-06-04T16:09:23Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
13,LLM,LLaMA-Factory,51689,6248,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,483,2025-06-05T15:23:17Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
14,LLM,LLMs-from-scratch,50710,7369,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,6,2025-04-20T02:16:18Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
15,LLM,vllm,48993,7812,Python,https://github.com/vllm-project/vllm,vllm-project,1894,2025-06-06T03:47:09Z,A high-throughput and memory-efficient inference and serving engine for LLMs
16,LLM,crawl4ai,45048,4242,Python,https://github.com/unclecode/crawl4ai,unclecode,138,2025-06-05T14:40:42Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
17,LLM,anything-llm,44986,4451,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,252,2025-06-06T00:01:01Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
18,LLM,llama_index,42123,6027,Python,https://github.com/run-llama/llama_index,run-llama,242,2025-06-06T01:13:09Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
19,LLM,unsloth,40068,3171,Python,https://github.com/unslothai/unsloth,unslothai,969,2025-06-05T08:25:12Z,"Finetune Qwen3, Llama 4, TTS, DeepSeek-R1 & Gemma 3 LLMs 2x faster with 70% less memory! 🦥"
20,LLM,firecrawl,39465,3652,TypeScript,https://github.com/mendableai/firecrawl,mendableai,180,2025-06-05T22:30:40Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
21,LLM,Pake,39352,7302,Rust,https://github.com/tw93/Pake,tw93,62,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
22,LLM,quivr,37946,3640,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,4,2025-06-05T08:58:25Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
23,LLM,chatgpt-on-wechat,37507,9271,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,289,2025-05-30T09:06:57Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT4.1/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
24,LLM,ray,37386,6345,Python,https://github.com/ray-project/ray,ray-project,3771,2025-06-06T02:55:29Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
