rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,transformers,146096,29468,Python,https://github.com/huggingface/transformers,huggingface,1059,2025-06-26T21:40:45Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
2,LLM,ollama,144849,12213,Go,https://github.com/ollama/ollama,ollama,1602,2025-06-26T22:50:39Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
3,LLM,awesome-chatgpt-prompts,129663,17194,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-06-18T17:50:37Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
4,LLM,dify,104818,15782,TypeScript,https://github.com/langgenius/dify,langgenius,679,2025-06-27T03:42:33Z,Production-ready platform for agentic workflow development.
5,LLM,open-webui,100309,13289,JavaScript,https://github.com/open-webui/open-webui,open-webui,171,2025-06-26T07:05:18Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
6,LLM,llama.cpp,82231,12202,C++,https://github.com/ggml-org/llama.cpp,ggml-org,295,2025-06-26T22:01:08Z,LLM inference in C/C++
7,LLM,gpt4all,73703,8057,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,689,2025-05-27T20:05:19Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
8,LLM,gpt_academic,68836,8357,Python,https://github.com/binary-husky/gpt_academic,binary-husky,259,2025-06-24T17:35:03Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
9,LLM,browser-use,64123,7289,Python,https://github.com/browser-use/browser-use,browser-use,451,2025-06-27T03:06:49Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
10,LLM,OpenHands,59287,6876,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,295,2025-06-27T03:48:12Z,"🙌 OpenHands: Code Less, Make More"
11,LLM,ragflow,58276,5754,Python,https://github.com/infiniflow/ragflow,infiniflow,2301,2025-06-27T02:23:34Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
12,LLM,LLMs-from-scratch,57011,7925,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,3,2025-06-25T17:50:34Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
13,LLM,MetaGPT,56783,6812,Python,https://github.com/FoundationAgents/MetaGPT,FoundationAgents,26,2025-06-13T14:15:25Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
14,LLM,llm-course,56276,6036,,https://github.com/mlabonne/llm-course,mlabonne,53,2025-06-04T16:09:23Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
15,LLM,LLaMA-Factory,53037,6493,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,499,2025-06-26T05:55:43Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
16,LLM,vllm,50839,8346,Python,https://github.com/vllm-project/vllm,vllm-project,1888,2025-06-27T03:50:13Z,A high-throughput and memory-efficient inference and serving engine for LLMs
17,LLM,crawl4ai,46525,4448,Python,https://github.com/unclecode/crawl4ai,unclecode,162,2025-06-25T14:26:19Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
18,LLM,awesome-llm-apps,46457,5304,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,4,2025-06-24T15:35:26Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
19,LLM,anything-llm,45763,4563,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,271,2025-06-24T23:19:52Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
20,LLM,text-generation-webui,44104,5683,Python,https://github.com/oobabooga/text-generation-webui,oobabooga,2547,2025-06-25T18:05:27Z,"LLM UI with advanced features, easy setup, and multiple backend support."
21,LLM,llama_index,42624,6120,Python,https://github.com/run-llama/llama_index,run-llama,221,2025-06-26T22:28:01Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
22,LLM,unsloth,41140,3272,Python,https://github.com/unslothai/unsloth,unslothai,806,2025-06-26T19:03:37Z,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM."
23,LLM,firecrawl,40641,3814,TypeScript,https://github.com/mendableai/firecrawl,mendableai,137,2025-06-26T21:00:10Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
24,LLM,Pake,39888,7453,Rust,https://github.com/tw93/Pake,tw93,66,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
25,LLM,quivr,38052,3646,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,1,2025-06-26T13:38:09Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
26,LLM,chatgpt-on-wechat,37902,9307,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,295,2025-06-24T12:45:28Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
27,LLM,ray,37706,6527,Python,https://github.com/ray-project/ray,ray-project,3831,2025-06-27T03:07:58Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
28,LLM,MoneyPrinterTurbo,37278,5345,Python,https://github.com/harry0703/MoneyPrinterTurbo,harry0703,166,2025-06-11T06:34:54Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
29,LLM,ChatTTS,36950,4009,Python,https://github.com/2noise/ChatTTS,2noise,58,2025-05-23T13:00:56Z,A generative speech model for daily dialogue.
30,LLM,milvus,35610,3269,Go,https://github.com/milvus-io/milvus,milvus-io,659,2025-06-27T02:48:43Z,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search"
31,LLM,mem0,35501,3601,Python,https://github.com/mem0ai/mem0,mem0ai,358,2025-06-26T17:36:21Z,Memory for AI Agents; Announcing OpenMemory MCP - local and secure memory management.
32,LLM,chatbox,35480,3389,TypeScript,https://github.com/chatboxai/chatbox,chatboxai,728,2025-06-26T03:25:41Z,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)"
33,LLM,Langchain-Chatchat,35406,5927,TypeScript,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,161,2025-03-25T15:45:51Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
34,LLM,LLM101n,33800,1837,,https://github.com/karpathy/LLM101n,karpathy,0,2024-08-01T01:20:33Z,LLM101n: Let's build a Storyteller
