rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,138020,11498,Go,https://github.com/ollama/ollama,ollama,1513,2025-04-20T23:24:56Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
2,LLM,awesome-chatgpt-prompts,123235,16499,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-04-10T21:22:29Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
3,LLM,dify,93031,13882,TypeScript,https://github.com/langgenius/dify,langgenius,575,2025-04-21T03:37:11Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
4,LLM,open-webui,90470,11401,JavaScript,https://github.com/open-webui/open-webui,open-webui,155,2025-04-20T21:42:36Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
5,LLM,llama.cpp,78472,11474,C++,https://github.com/ggml-org/llama.cpp,ggml-org,337,2025-04-20T22:13:28Z,LLM inference in C/C++
6,LLM,gpt4all,73152,7971,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,680,2025-03-19T23:33:36Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
7,LLM,gpt_academic,68237,8333,Python,https://github.com/binary-husky/gpt_academic,binary-husky,251,2025-04-20T16:50:35Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
8,LLM,browser-use,57020,6116,Python,https://github.com/browser-use/browser-use,browser-use,381,2025-04-18T23:55:26Z,Make websites accessible for AI agents
9,LLM,MetaGPT,54805,6507,Python,https://github.com/geekan/MetaGPT,geekan,53,2025-03-31T07:17:13Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
10,LLM,OpenHands,53224,5930,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,187,2025-04-21T00:46:24Z,"🙌 OpenHands: Code Less, Make More"
11,LLM,ragflow,49656,4686,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,1854,2025-04-21T01:43:20Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
12,LLM,llm-course,49391,5287,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,48,2025-01-22T22:32:51Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
13,LLM,LLaMA-Factory,47233,5769,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,427,2025-04-16T19:15:39Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
14,LLM,vllm,45385,6963,Python,https://github.com/vllm-project/vllm,vllm-project,1692,2025-04-21T03:13:46Z,A high-throughput and memory-efficient inference and serving engine for LLMs
15,LLM,LLMs-from-scratch,44818,6282,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,0,2025-04-20T02:16:18Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
16,LLM,anything-llm,43078,4180,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,241,2025-04-20T21:49:23Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
17,LLM,llama_index,41065,5843,Python,https://github.com/run-llama/llama_index,run-llama,488,2025-04-17T22:32:17Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
18,LLM,crawl4ai,40110,3608,Python,https://github.com/unclecode/crawl4ai,unclecode,103,2025-04-20T12:15:43Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
19,LLM,quivr,37725,3636,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,8,2025-04-18T07:41:59Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
20,LLM,Flowise,37498,19497,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,537,2025-04-20T10:03:58Z,Drag & drop UI to build your customized LLM flow
21,LLM,unsloth,37311,2909,Python,https://github.com/unslothai/unsloth,unslothai,952,2025-04-20T02:46:22Z,"Finetune Llama 4, DeepSeek-R1, Gemma 3 & Reasoning LLMs 2x faster with 70% less memory! 🦥"
22,LLM,Pake,37251,6729,Rust,https://github.com/tw93/Pake,tw93,47,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
23,LLM,ray,36649,6230,Python,https://github.com/ray-project/ray,ray-project,3853,2025-04-20T04:36:43Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
24,LLM,chatgpt-on-wechat,36409,9107,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,282,2025-04-20T09:22:54Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT4.1/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
25,LLM,firecrawl,36394,3244,TypeScript,https://github.com/mendableai/firecrawl,mendableai,154,2025-04-19T19:53:47Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
26,LLM,ChatTTS,35848,3892,Python,https://github.com/2noise/ChatTTS,2noise,69,2025-03-14T03:34:46Z,A generative speech model for daily dialogue.
27,LLM,Langchain-Chatchat,34735,5858,TypeScript,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,195,2025-03-25T15:45:51Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
28,LLM,chatbox,34288,3272,TypeScript,https://github.com/chatboxai/chatbox,chatboxai,659,2025-04-21T01:50:48Z,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)"
29,LLM,milvus,34180,3162,Go,https://github.com/milvus-io/milvus,milvus-io,646,2025-04-21T02:24:40Z,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search"
30,LLM,LLM101n,33221,1813,,https://github.com/karpathy/LLM101n,karpathy,0,2024-08-01T01:20:33Z,LLM101n: Let's build a Storyteller
31,LLM,LocalAI,31931,2433,Go,https://github.com/mudler/LocalAI,mudler,432,2025-04-20T21:44:34Z,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference"
32,LLM,Mr.-Ranedeer-AI-Tutor,29487,3374,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,13,2024-03-25T13:06:55Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
33,LLM,awesome-llm-apps,28902,3249,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,4,2025-04-17T21:26:28Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
34,LLM,khoj,28762,1607,Python,https://github.com/khoj-ai/khoj,khoj-ai,66,2025-04-20T15:04:40Z,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
35,LLM,mem0,27734,2643,Python,https://github.com/mem0ai/mem0,mem0ai,244,2025-04-21T00:27:59Z,The Memory layer for AI Agents
36,LLM,1Panel,27699,2413,Go,https://github.com/1Panel-dev/1Panel,1Panel-dev,628,2025-04-21T02:38:28Z,"🔥 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server."
37,LLM,ChatDev,26731,3377,Python,https://github.com/OpenBMB/ChatDev,OpenBMB,22,2025-04-03T09:05:29Z,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration)
38,LLM,llm.c,26389,3030,Cuda,https://github.com/karpathy/llm.c,karpathy,82,2024-10-02T01:25:39Z,"LLM training in simple, raw C/CUDA"
39,LLM,MoneyPrinterTurbo,26268,3862,Python,https://github.com/harry0703/MoneyPrinterTurbo,harry0703,119,2025-03-23T10:45:27Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
