rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,136617,11360,Go,https://github.com/ollama/ollama,ollama,1504,2025-04-09T04:52:41Z,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, and other large language models."
2,LLM,awesome-chatgpt-prompts,122748,16448,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-04-08T21:40:40Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
3,LLM,dify,90275,13450,TypeScript,https://github.com/langgenius/dify,langgenius,589,2025-04-09T12:53:00Z,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production."
4,LLM,open-webui,88489,11005,JavaScript,https://github.com/open-webui/open-webui,open-webui,172,2025-04-09T10:47:49Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
5,LLM,llama.cpp,77860,11354,C++,https://github.com/ggml-org/llama.cpp,ggml-org,334,2025-04-09T14:08:11Z,LLM inference in C/C++
6,LLM,gpt4all,73048,7958,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,676,2025-03-19T23:33:36Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
7,LLM,gpt_academic,68135,8336,Python,https://github.com/binary-husky/gpt_academic,binary-husky,250,2025-03-24T16:13:18Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
8,LLM,browser-use,54513,5816,Python,https://github.com/browser-use/browser-use,browser-use,363,2025-04-09T14:58:25Z,Make websites accessible for AI agents
9,LLM,MetaGPT,54370,6449,Python,https://github.com/geekan/MetaGPT,geekan,47,2025-03-31T07:17:13Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
10,LLM,OpenHands,52616,5837,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,209,2025-04-09T14:46:30Z,"🙌 OpenHands: Code Less, Make More"
11,LLM,llm-course,49081,5252,Jupyter Notebook,https://github.com/mlabonne/llm-course,mlabonne,48,2025-01-22T22:32:51Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
12,LLM,ragflow,48405,4535,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,1746,2025-04-09T13:13:05Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
13,LLM,LLaMA-Factory,46436,5669,Python,https://github.com/hiyouga/LLaMA-Factory,hiyouga,407,2025-04-09T13:37:54Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
14,LLM,vllm,43890,6726,Python,https://github.com/vllm-project/vllm,vllm-project,1628,2025-04-09T14:44:03Z,A high-throughput and memory-efficient inference and serving engine for LLMs
15,LLM,LLMs-from-scratch,43865,6073,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,0,2025-04-06T23:29:23Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
16,LLM,anything-llm,42524,4110,JavaScript,https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs,239,2025-04-09T01:08:42Z,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility,  and more."
17,LLM,llama_index,40796,5810,Python,https://github.com/run-llama/llama_index,run-llama,598,2025-04-09T14:25:19Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
18,LLM,crawl4ai,38563,3415,Python,https://github.com/unclecode/crawl4ai,unclecode,88,2025-04-09T07:39:09Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
19,LLM,quivr,37678,3639,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,23,2025-04-09T11:31:09Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
20,LLM,Pake,37118,6684,Rust,https://github.com/tw93/Pake,tw93,44,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
21,LLM,Flowise,37053,19299,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,523,2025-04-09T08:37:18Z,Drag & drop UI to build your customized LLM flow
22,LLM,unsloth,36834,2861,Python,https://github.com/unslothai/unsloth,unslothai,932,2025-04-07T00:20:22Z,"Finetune Llama 4, DeepSeek-R1, Gemma 3 & Reasoning LLMs 2x faster with 70% less memory! 🦥"
23,LLM,ray,36452,6199,Python,https://github.com/ray-project/ray,ray-project,3897,2025-04-09T14:26:26Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
24,LLM,chatgpt-on-wechat,36186,9072,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,283,2025-04-09T10:51:02Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
25,LLM,ChatTTS,35669,3867,Python,https://github.com/2noise/ChatTTS,2noise,70,2025-03-14T03:34:46Z,A generative speech model for daily dialogue.
26,LLM,firecrawl,34639,3030,TypeScript,https://github.com/mendableai/firecrawl,mendableai,145,2025-04-09T14:37:32Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
27,LLM,Langchain-Chatchat,34579,5831,TypeScript,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,194,2025-03-25T15:45:51Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
28,LLM,chatbox,34023,3245,TypeScript,https://github.com/chatboxai/chatbox,chatboxai,638,2025-03-20T15:20:56Z,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)"
29,LLM,milvus,33932,3144,Go,https://github.com/milvus-io/milvus,milvus-io,652,2025-04-09T14:52:27Z,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search"
30,LLM,LLM101n,33111,1811,,https://github.com/karpathy/LLM101n,karpathy,0,2024-08-01T01:20:33Z,LLM101n: Let's build a Storyteller
31,LLM,LocalAI,31603,2404,Go,https://github.com/mudler/LocalAI,mudler,420,2025-04-09T14:55:49Z,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference"
32,LLM,Mr.-Ranedeer-AI-Tutor,29486,3372,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,13,2024-03-25T13:06:55Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
33,LLM,khoj,28562,1590,Python,https://github.com/khoj-ai/khoj,khoj-ai,71,2025-04-08T12:37:22Z,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
34,LLM,awesome-llm-apps,27592,3098,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,5,2025-04-09T06:36:28Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
35,LLM,mem0,27319,2601,Python,https://github.com/mem0ai/mem0,mem0ai,237,2025-04-09T12:04:16Z,The Memory layer for AI Agents
36,LLM,ChatDev,26652,3373,Python,https://github.com/OpenBMB/ChatDev,OpenBMB,24,2025-04-03T09:05:29Z,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration)
37,LLM,1Panel,26518,2339,Go,https://github.com/1Panel-dev/1Panel,1Panel-dev,629,2025-04-09T10:27:59Z,"🔥 1Panel offers an intuitive web interface for managing websites, files, containers, databases and LLMs within a Linux server."
38,LLM,llm.c,26285,3022,Cuda,https://github.com/karpathy/llm.c,karpathy,79,2024-10-02T01:25:39Z,"LLM training in simple, raw C/CUDA"
39,LLM,MoneyPrinterTurbo,26020,3818,Python,https://github.com/harry0703/MoneyPrinterTurbo,harry0703,116,2025-03-23T10:45:27Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
40,LLM,continue,25382,2572,TypeScript,https://github.com/continuedev/continue,continuedev,728,2025-04-09T05:11:32Z,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks"
41,LLM,composio,24896,4396,Python,https://github.com/ComposioHQ/composio,ComposioHQ,30,2025-04-09T12:22:10Z,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling
42,LLM,one-api,24467,5078,JavaScript,https://github.com/songquanpeng/one-api,songquanpeng,825,2025-02-21T11:30:22Z,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI."
43,LLM,graphrag,24348,2439,Python,https://github.com/microsoft/graphrag,microsoft,146,2025-04-08T20:12:19Z,A modular graph-based Retrieval-Augmented Generation (RAG) system
44,LLM,JARVIS,24084,2008,Python,https://github.com/microsoft/JARVIS,microsoft,80,2024-09-26T06:43:22Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
45,LLM,semantic-kernel,23911,3687,C#,https://github.com/microsoft/semantic-kernel,microsoft,408,2025-04-09T14:57:23Z,Integrate cutting-edge LLM technology quickly and easily into your apps
46,LLM,storm,23778,2085,Python,https://github.com/stanford-oval/storm,stanford-oval,35,2025-01-23T07:21:44Z,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.
47,LLM,pathway,23710,350,Python,https://github.com/pathwaycom/pathway,pathwaycom,40,2025-04-09T08:46:00Z,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
